NumRecords,NumColumns,GlobalScanTime,HierarchicalSingleTime,HierarchicalMultiTime,MultiBloomChecks,MultiLeafBloomChecks,MultiSSTChecks,SingleBloomChecks,SingleLeafBloomChecks,SingleSSTChecks
50000000,2,1.80976e+07,36647.4,28018.8,514.6,69.9,2,421.7,174.5,5.5
50000000,4,1.80441e+07,31710.9,29094,752.4,19.8,4,429.2,179.9,5.1
50000000,8,1.80877e+07,32585.4,114545,1187.1,24,8,417.7,171.1,6.6
50000000,10,1.80606e+07,31446.2,800490,1374.3,30,10,415.6,167.9,6.2
NumRecords,NumColumns,GlobalScanTime,HierarchicalSingleTime,HierarchicalMultiTime,MultiBloomChecks,MultiLeafBloomChecks,MultiSSTChecks,SingleBloomChecks,SingleLeafBloomChecks,SingleSSTChecks
50000000,2,0,37166.7,32317.1,505.8,66.3,2.2,411.7,164,5.1
50000000,3,0,32608.9,28843.4,640.7,30,3,422.4,174.8,5.5
50000000,4,0,31807.3,30001.7,769.4,20.4,4,419.8,172.4,5.6
50000000,5,0,34464.6,34657.2,883.4,19.2,5,415.5,166.2,5
50000000,6,0,34149.6,39973.2,970.9,18,6,413,165.3,6.5
50000000,7,0,33379.1,62767.7,1057.4,21,7,413.4,165.5,4.8
50000000,8,0,35751.4,118733,1166.2,24,8,432.3,185.4,6.1
