dbSize,percentageExisting,hierarchicalSingleTime,hierarchicalMultiTime
10000000,0,68450,260
10000000,33.3333,69211,368
10000000,66.6667,65383,324
10000000,100,50936,68900
50000000,0,107519,1428
50000000,33.3333,110728,1311
50000000,66.6667,92362,1348
50000000,100,97275,92869
100000000,0,111365,3332
100000000,33.3333,116267,2876
100000000,66.6667,110874,3025
100000000,100,110803,70884
500000000,0,316355,17311
500000000,33.3333,298143,17853
500000000,66.6667,400876,17331
500000000,100,392158,92607
