dbSize,realDataPercentage,avgMultiBloomChecks,avgMultiLeafBloomChecks,avgMultiNonLeafBloomChecks,avgMultiSSTChecks,avgSingleBloomChecks,avgSingleLeafBloomChecks,avgSingleNonLeafBloomChecks,avgSingleSSTChecks,avgRealMultiBloomChecks,avgRealMultiSSTChecks,avgFalseMultiBloomChecks,avgFalseMultiSSTChecks
10000000,0,44.05,1.23,42.82,0,49.5,24.55,24.95,0.67,0,0,44.05,0
10000000,20,46.67,3.38,43.29,0.6,50.3,25.3,25,0.77,52.85,3,45.125,0
10000000,33,46.45,3.5,42.95,0.99,49.65,24.75,24.9,0.77,51.3939,3,44.0149,0
10000000,50,48.2,4.72,43.48,1.5,50.45,25.5,24.95,0.83,51.68,3,44.72,0
10000000,75,49.67,6.22,43.45,2.25,50,25,25,0.94,51.3867,3,44.52,0
10000000,100,51.66,7.7,43.96,3,51.25,26.25,25,1.02,51.66,3,0,0
50000000,0,285.64,7.41,278.23,0,232.25,106.7,125.55,0.78,0,0,285.64,0
50000000,20,288.39,8.22,280.17,0.6,235.5,109.92,125.58,0.92,291.1,3,287.712,0
50000000,33,289.61,9.6,280.01,0.99,236.25,110.41,125.84,0.91,296.121,3,286.403,0
50000000,50,292.25,12.04,280.21,1.5,235.35,109.68,125.67,1.03,297.32,3,287.18,0
50000000,75,296.11,13.3,282.81,2.25,236.55,110.71,125.84,1.18,297.387,3,292.28,0
50000000,100,296.68,13.78,282.9,3,239.05,113.19,125.86,1.11,296.68,3,0,0
100000000,0,431.8,11.45,420.35,0,469.65,219.1,250.55,0.91,0,0,431.8,0
100000000,20,435.67,12.52,423.15,0.6,475.55,225.1,250.45,1.02,446.4,3,432.988,0
100000000,33,437.8,13.84,423.96,0.99,477.85,227.55,250.3,1,439.879,3,436.776,0
100000000,50,434.45,14.32,420.13,1.5,471,220.8,250.2,1.02,438.84,3,430.06,0
100000000,75,439.31,15.94,423.37,2.25,473.9,223.7,250.2,1.17,442.947,3,428.4,0
100000000,100,440.5,17.96,422.54,3,472.15,221.55,250.6,1.27,440.5,3,0,0
500000000,0,2151.68,54.11,2097.57,0,2340.55,1092.75,1247.8,2.08,0,0,2151.68,0
500000000,20,2156.27,54.57,2101.7,0.6,2356.1,1108.65,1247.45,2.25,2159.4,3,2155.49,0
500000000,33,2150.76,53.91,2096.85,0.99,2348.95,1102.1,1246.85,2.5,2159.24,3,2146.58,0
500000000,50,2155.63,56.23,2099.4,1.5,2354.5,1106.3,1248.2,2.61,2161.18,3,2150.08,0
500000000,75,2153.63,55.68,2097.95,2.25,2345.05,1097.85,1247.2,2.44,2155.68,3,2147.48,0
500000000,100,2160.96,60.06,2100.9,3,2345.45,1097.8,1247.65,2.57,2160.96,3,0,0
