dbSize,realDataPercentage,totalQueries,realQueries,falseQueries,avgMultiTime,avgSingleTime,avgMultiBloomChecks,avgMultiSSTChecks
10000000,0,100,0,100,1264.16,60843.3,107.45,0.03
10000000,20,100,20,80,15949.8,61552.3,108.11,0.6
10000000,33,100,33,67,24924.5,61469.1,110.7,0.99
10000000,50,100,50,50,38744.5,61091.4,110.76,1.5
10000000,75,100,75,25,56473.3,56882.1,112.51,2.25
10000000,100,100,100,0,74149.1,58580.1,112.73,3
50000000,0,100,0,100,4166.46,77592,703.5,0
50000000,20,100,20,80,15534.1,79426,701.74,0.6
50000000,33,100,33,67,20927.4,75826.1,708.84,1.08
50000000,50,100,50,50,31189.5,76540.8,706.84,1.5
50000000,75,100,75,25,43653,74334.1,709.75,2.25
50000000,100,100,100,0,57199.2,74315.2,713.54,3.03
100000000,0,100,0,100,5401.94,93593.8,1078.66,0
100000000,20,100,20,80,21551.6,89619.5,1074.63,0.6
100000000,33,100,33,67,32707.3,92498.6,1084.08,0.99
100000000,50,100,50,50,45544,84930.1,1072.55,1.5
100000000,75,100,75,25,64783.8,86903.9,1082.59,2.28
100000000,100,100,100,0,81491,91412.9,1076.49,3
500000000,0,100,0,100,26765.8,205860,5330.98,0
500000000,20,100,20,80,43432.4,204604,5316.15,0.63
500000000,33,100,33,67,53879.5,206313,5329.24,1.02
500000000,50,100,50,50,67879.1,206520,5331.61,1.53
500000000,75,100,75,25,88019.3,203885,5318.29,2.28
500000000,100,100,100,0,107617,205873,5341.28,3
